#,Category,Tool Name,Description,HTTP Method,Graph API Endpoint (relative to https://graph.microsoft.com/{version}),API Version,Required Application Permission,Access Type,Status
20,Policy Management,list_compliance_policies,List device compliance policies,GET,/deviceManagement/deviceCompliancePolicies,v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
21,Policy Management,list_configuration_profiles,List device configuration profiles,GET,/deviceManagement/deviceConfigurations,v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
22,App Management,list_mobile_apps,List mobile apps,GET,/deviceAppManagement/mobileApps,v1.0,DeviceManagementApps.Read.All,Read,EXISTING
23,App Management,get_app_details,Get app details,GET,/deviceAppManagement/mobileApps/{id},v1.0,DeviceManagementApps.Read.All,Read,EXISTING
24,App Management,search_apps,Search apps by name,GET,/deviceAppManagement/mobileApps?$filter=...,v1.0,DeviceManagementApps.Read.All,Read,EXISTING
25,App Management,assign_app_to_group,Assign app to group (required/available/uninstall),POST,/deviceAppManagement/mobileApps/{id}/assign,v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,EXISTING
26,App Management,remove_all_app_assignments,Remove all assignments for an app (confirm=True),DELETE,/deviceAppManagement/mobileApps/{id}/assignments/{assignmentId},v1.0,DeviceManagementApps.ReadWrite.All,Read.Write,EXISTING
27,Entra ID User Management,list_users,List tenant users,GET,/users,v1.0,User.Read.All,Read,EXISTING
28,Entra ID User Management,get_user,Get user by ID or UPN,GET,/users/{id | userPrincipalName},v1.0,User.Read.All,Read,EXISTING
29,Entra ID User Management,search_users,Search users by name,GET,/users?$search=displayName:...,v1.0,User.Read.All,Read,EXISTING
30,Entra ID User Management,create_user,Create a new Entra ID user,POST,/users,v1.0,User.ReadWrite.All,Read.Write,EXISTING
31,Entra ID User Management,update_user,Update user properties,PATCH,/users/{id},v1.0,User.ReadWrite.All,Read.Write,EXISTING
32,Entra ID User Management,delete_user,Delete a user (confirm=True),DELETE,/users/{id},v1.0,User.ReadWrite.All,Read.Write,EXISTING
33,Entra ID User Management,enable_user,Enable a user account,PATCH,/users/{id} (accountEnabled: true),v1.0,User.ReadWrite.All,Read.Write,EXISTING
34,Entra ID User Management,disable_user,Disable a user / block sign-in,PATCH,/users/{id} (accountEnabled: false),v1.0,User.ReadWrite.All,Read.Write,EXISTING
35,Entra ID User Management,reset_user_password,Reset user password,PATCH,/users/{id} (passwordProfile),v1.0,User.ReadWrite.All,Read.Write,EXISTING
36,Entra ID User Management,revoke_user_sessions,Revoke all refresh tokens,POST,/users/{id}/revokeSignInSessions,v1.0,User.ReadWrite.All,Read.Write,EXISTING
37,Entra ID User Management,get_user_devices,List managed devices for a user,GET,/users/{id}/managedDevices,v1.0,DeviceManagementManagedDevices.Read.All,Read,EXISTING
38,Entra ID User Management,get_user_licenses,Get license assignments for a user,GET,/users/{id}/licenseDetails,v1.0,User.Read.All,Read,EXISTING
39,Entra ID User Management,assign_license,Assign a license to a user,POST,/users/{id}/assignLicense,v1.0,User.ReadWrite.All,Read.Write,EXISTING
40,Entra ID User Management,remove_license,Remove a license from a user,POST,/users/{id}/assignLicense (removeLicenses),v1.0,User.ReadWrite.All,Read.Write,EXISTING
41,Entra ID User Management,list_available_licenses,List available license SKUs,GET,/subscribedSkus,v1.0,Organization.Read.All,Read,EXISTING
42,Entra ID User Management,get_deleted_users,List recently deleted users,GET,/directory/deletedItems/microsoft.graph.user,v1.0,User.Read.All,Read,EXISTING
43,Entra ID User Management,restore_deleted_user,Restore a deleted user,POST,/directory/deletedItems/{id}/restore,v1.0,User.ReadWrite.All,Read.Write,EXISTING
44,Entra ID User Management,assign_manager,Assign a manager to a user,PUT,/users/{id}/manager/$ref,v1.0,User.ReadWrite.All,Read.Write,EXISTING
45,Entra ID User Management,remove_manager,Remove a user's manager,DELETE,/users/{id}/manager/$ref,v1.0,User.ReadWrite.All,Read.Write,EXISTING
46,Entra ID User Management,get_direct_reports,List direct reports for a user,GET,/users/{id}/directReports,v1.0,User.Read.All,Read,EXISTING
47,Entra ID User Management,onboard_user,Create user + manager + licenses + groups (multi-call),POST,/users + /users/{id}/manager/$ref + /users/{id}/assignLicense + /groups/{id}/members/$ref,v1.0,User.ReadWrite.All & Group.ReadWrite.All,Read.Write,EXISTING
48,Entra ID User Management,offboard_user,Block sign-in / revoke sessions / remove groups & licenses,PATCH/POST/DELETE,/users/{id} + /users/{id}/revokeSignInSessions + /users/{id}/memberOf/{grp}/$ref,v1.0,User.ReadWrite.All & Group.ReadWrite.All,Read.Write,EXISTING
49,Entra ID User Management,bulk_create_users,Create multiple users (looped calls),POST,/users,v1.0,User.ReadWrite.All,Read.Write,EXISTING
50,Entra ID User Management,bulk_assign_licenses,Assign license to multiple users (looped),POST,/users/{id}/assignLicense,v1.0,User.ReadWrite.All,Read.Write,EXISTING
51,Entra ID User Management,bulk_add_to_group,Add multiple users to a group (looped),POST,/groups/{id}/members/$ref,v1.0,Group.ReadWrite.All,Read.Write,EXISTING
52,Entra ID Device Management,list_entra_devices,List Entra ID devices,GET,/devices,v1.0,Directory.Read.All,Read,EXISTING
53,Entra ID Device Management,search_entra_devices,Search Entra devices by display name,GET,/devices?$filter=startswith(displayName&'...'),v1.0,Directory.Read.All,Read,EXISTING
54,Entra ID Device Management,get_entra_device,Get Entra ID device details,GET,/devices/{id},v1.0,Directory.Read.All,Read,EXISTING
55,Entra ID Device Management,delete_entra_device,Delete device from Entra ID (confirm=True),DELETE,/devices/{id},v1.0,Directory.ReadWrite.All,Read.Write,EXISTING
56,Entra ID Device Management,delete_intune_device,Delete device from Intune (confirm=True),DELETE,/deviceManagement/managedDevices/{id},v1.0,DeviceManagementManagedDevices.ReadWrite.All,Read.Write,EXISTING
57,Entra ID Device Management,delete_device_from_all,Delete from both Intune and Entra (confirm=True),DELETE,/deviceManagement/managedDevices/{id} + /devices/{id},v1.0,DeviceManagementManagedDevices.ReadWrite.All & Directory.ReadWrite.All,Read.Write,EXISTING
58,Entra ID Device Management,disable_entra_device,Disable device in Entra ID,PATCH,/devices/{id} (accountEnabled: false),v1.0,Directory.ReadWrite.All,Read.Write,EXISTING
59,Entra ID Device Management,enable_entra_device,Enable device in Entra ID,PATCH,/devices/{id} (accountEnabled: true),v1.0,Directory.ReadWrite.All,Read.Write,EXISTING
60,Group Management,list_groups,List Azure AD groups,GET,/groups,v1.0,Group.Read.All,Read,EXISTING
61,Group Management,search_groups,Search groups by name,GET,/groups?$filter=startswith(displayName&'...'),v1.0,Group.Read.All,Read,EXISTING
62,Group Management,get_group,Get group details,GET,/groups/{id},v1.0,Group.Read.All,Read,EXISTING
63,Group Management,create_security_group,Create a security group,POST,/groups,v1.0,Group.ReadWrite.All,Read.Write,EXISTING
64,Group Management,create_microsoft365_group,Create a Microsoft 365 group,POST,/groups (groupTypes: Unified),v1.0,Group.ReadWrite.All,Read.Write,EXISTING
65,Group Management,create_dynamic_security_group,Create dynamic group with membership rule,POST,/groups (membershipRule & membershipRuleProcessingState),v1.0,Group.ReadWrite.All,Read.Write,EXISTING
66,Group Management,delete_group,Delete a group (confirm=True),DELETE,/groups/{id},v1.0,Group.ReadWrite.All,Read.Write,EXISTING
67,Group Management,get_group_members,List members of a group,GET,/groups/{id}/members,v1.0,Group.Read.All,Read,EXISTING
68,Group Management,add_group_member,Add a member to a group,POST,/groups/{id}/members/$ref,v1.0,Group.ReadWrite.All,Read.Write,EXISTING
69,Group Management,remove_group_member,Remove a member from a group,DELETE,/groups/{id}/members/{id}/$ref,v1.0,Group.ReadWrite.All,Read.Write,EXISTING
70,Group Management,get_group_owners,List owners of a group,GET,/groups/{id}/owners,v1.0,Group.Read.All,Read,EXISTING
71,Group Management,add_group_owner,Add an owner to a group,POST,/groups/{id}/owners/$ref,v1.0,Group.ReadWrite.All,Read.Write,EXISTING
72,Conditional Access,list_conditional_access_policies,List all CA policies,GET,/identity/conditionalAccess/policies,v1.0,Policy.Read.All,Read,EXISTING
73,Conditional Access,get_conditional_access_policy,Get details for a CA policy,GET,/identity/conditionalAccess/policies/{id},v1.0,Policy.Read.All,Read,EXISTING
74,Conditional Access,enable_conditional_access_policy,Enable a CA policy,PATCH,/identity/conditionalAccess/policies/{id} (state: enabled),v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,EXISTING
75,Conditional Access,disable_conditional_access_policy,Disable a CA policy,PATCH,/identity/conditionalAccess/policies/{id} (state: disabled),v1.0,Policy.ReadWrite.ConditionalAccess,Read.Write,EXISTING
76,Conditional Access,list_named_locations,List named locations,GET,/identity/conditionalAccess/namedLocations,v1.0,Policy.Read.All,Read,EXISTING
77,Authentication & Identity Protection,get_user_authentication_methods,List auth methods for a user,GET,/users/{id}/authentication/methods,v1.0,UserAuthenticationMethod.Read.All,Read,EXISTING
78,Authentication & Identity Protection,get_user_mfa_status,Check MFA status/registered methods,GET,/reports/authenticationMethods/userRegistrationDetails/{id},beta,UserAuthenticationMethod.Read.All & Reports.Read.All,Read,EXISTING
79,Authentication & Identity Protection,get_sign_in_logs,Sign-in logs (filter user/status/date),GET,/auditLogs/signIns,v1.0,AuditLog.Read.All,Read,EXISTING
80,Authentication & Identity Protection,get_risky_users,List risky users,GET,/identityProtection/riskyUsers,v1.0,IdentityRiskyUser.Read.All,Read,EXISTING
81,Authentication & Identity Protection,get_risk_detections,Get risk detections,GET,/identityProtection/riskDetections,v1.0,IdentityRiskEvent.Read.All,Read,EXISTING
82,Authentication & Identity Protection,dismiss_risky_user,Dismiss risk for a user,POST,/identityProtection/riskyUsers/dismiss,v1.0,IdentityRiskyUser.ReadWrite.All,Read.Write,EXISTING
83,Authentication & Identity Protection,get_directory_audit_logs,Directory audit logs (category/date filter),GET,/auditLogs/directoryAudits,v1.0,AuditLog.Read.All,Read,EXISTING
84,App Registrations & Enterprise Apps,list_app_registrations,List app registrations + credential expiry,GET,/applications,v1.0,Application.Read.All,Read,EXISTING
85,App Registrations & Enterprise Apps,get_app_registration,Get app registration (perms & credentials),GET,/applications/{id},v1.0,Application.Read.All,Read,EXISTING
86,App Registrations & Enterprise Apps,search_app_registrations,Search app registrations by name,GET,/applications?$filter=startswith(displayName&'...'),v1.0,Application.Read.All,Read,EXISTING
87,App Registrations & Enterprise Apps,list_enterprise_apps,List enterprise apps (service principals),GET,/servicePrincipals,v1.0,Application.Read.All,Read,EXISTING
88,App Registrations & Enterprise Apps,get_enterprise_app,Get enterprise app details,GET,/servicePrincipals/{id},v1.0,Application.Read.All,Read,EXISTING
89,App Registrations & Enterprise Apps,search_enterprise_apps,Search enterprise apps by name,GET,/servicePrincipals?$filter=startswith(displayName&'...'),v1.0,Application.Read.All,Read,EXISTING
90,App Registrations & Enterprise Apps,get_app_permissions,Permissions granted to an enterprise app,GET,/servicePrincipals/{id}/appRoleAssignments & /oauth2PermissionGrants,v1.0,Application.Read.All,Read,EXISTING
91,App Registrations & Enterprise Apps,enable_enterprise_app,Enable an enterprise app,PATCH,/servicePrincipals/{id} (accountEnabled: true),v1.0,Application.ReadWrite.All,Read.Write,EXISTING
92,App Registrations & Enterprise Apps,disable_enterprise_app,Disable an enterprise app,PATCH,/servicePrincipals/{id} (accountEnabled: false),v1.0,Application.ReadWrite.All,Read.Write,EXISTING
93,App Registrations & Enterprise Apps,get_credentials_expiring_soon,App regs with credentials expiring in N days,GET,/applications?$select=passwordCredentials&keyCredentials,v1.0,Application.Read.All,Read,EXISTING
94,App Registrations & Enterprise Apps,delete_app_registration,Delete an app registration (confirm=True),DELETE,/applications/{id},v1.0,Application.ReadWrite.All,Read.Write,EXISTING
95,Windows 365 Cloud PC,list_cloud_pcs,List all Cloud PCs,GET,/deviceManagement/virtualEndpoint/cloudPCs,v1.0,CloudPC.Read.All,Read,EXISTING
96,Windows 365 Cloud PC,get_cloud_pc_details,Get details for a Cloud PC,GET,/deviceManagement/virtualEndpoint/cloudPCs/{id},v1.0,CloudPC.Read.All,Read,EXISTING
97,Windows 365 Cloud PC,restart_cloud_pc,Restart a Cloud PC,POST,/deviceManagement/virtualEndpoint/cloudPCs/{id}/reboot,v1.0,CloudPC.ReadWrite.All,Read.Write,EXISTING
98,Windows 365 Cloud PC,reprovision_cloud_pc,Reprovision a Cloud PC (confirm=True),POST,/deviceManagement/virtualEndpoint/cloudPCs/{id}/reprovision,v1.0,CloudPC.ReadWrite.All,Read.Write,EXISTING
99,Windows 365 Cloud PC,list_provisioning_policies,List Cloud PC provisioning policies,GET,/deviceManagement/virtualEndpoint/provisioningPolicies,v1.0,CloudPC.Read.All,Read,EXISTING
100,Windows 365 Cloud PC,list_gallery_images,List gallery images for provisioning,GET,/deviceManagement/virtualEndpoint/galleryImages,v1.0,CloudPC.Read.All,Read,EXISTING
101,Windows 365 Cloud PC,get_cloud_pc_overview,Cloud PC overview and summary,GET,/deviceManagement/virtualEndpoint/reports (or /cloudPCs aggregate),v1.0/beta,CloudPC.Read.All,Read,EXISTING
102,Tenant Administration,get_organization_info,Get organization/tenant info,GET,/organization,v1.0,Organization.Read.All,Read,EXISTING
103,Tenant Administration,get_tenant_domains,List domains for the tenant,GET,/domains,v1.0,Domain.Read.All,Read,EXISTING
104,Tenant Administration,get_service_health,M365 service health status,GET,/admin/serviceAnnouncement/healthOverviews,v1.0,ServiceHealth.Read.All,Read,EXISTING
105,Tenant Administration,get_service_issues,Current/recent service issues (filter by service),GET,/admin/serviceAnnouncement/issues,v1.0,ServiceHealth.Read.All,Read,EXISTING
106,Tenant Administration,list_directory_roles,List active directory roles,GET,/directoryRoles,v1.0,RoleManagement.Read.Directory,Read,EXISTING
107,Tenant Administration,get_directory_role_members,List members of a directory role,GET,/directoryRoles/{id}/members,v1.0,RoleManagement.Read.Directory,Read,EXISTING
108,Tenant Administration,get_global_admins,List Global Administrator role members,GET,/directoryRoles(roleTemplateId='62e90394-69f5-4237-9190-012177145e10')/members,v1.0,RoleManagement.Read.Directory,Read,EXISTING
109,Tenant Administration,get_subscriptions,List subscribed SKUs (licenses),GET,/subscribedSkus,v1.0,Organization.Read.All,Read,EXISTING
110,Tenant Administration,get_security_defaults_status,Check security defaults status,GET,/policies/identitySecurityDefaultsEnforcementPolicy,v1.0,Policy.Read.All,Read,EXISTING
111,Tenant Administration,assign_directory_role,Assign a directory role to a user/group,POST,/directoryRoles/{id}/members/$ref,v1.0,RoleManagement.ReadWrite.Directory,Read.Write,EXISTING
112,Scripts & Remediations,list_device_management_scripts,List PowerShell scripts in Intune,GET,/deviceManagement/deviceManagementScripts,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
113,Scripts & Remediations,get_device_management_script,Get details for a PowerShell script,GET,/deviceManagement/deviceManagementScripts/{id},beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
114,Scripts & Remediations,get_script_device_status,Deployment status for a script,GET,/deviceManagement/deviceManagementScripts/{id}/deviceRunStates,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
115,Scripts & Remediations,list_device_health_scripts,List proactive remediation scripts,GET,/deviceManagement/deviceHealthScripts,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
116,Scripts & Remediations,get_device_health_script,Get details for a remediation script,GET,/deviceManagement/deviceHealthScripts/{id},beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
117,Scripts & Remediations,get_device_health_script_status,Status summary for a remediation script,GET,/deviceManagement/deviceHealthScripts/{id}/deviceRunStates,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
118,Security & Compliance,list_security_baselines,List security baseline templates,GET,/deviceManagement/templates,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
119,Security & Compliance,list_security_baseline_profiles,List deployed security baseline profiles,GET,/deviceManagement/intents,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
120,Security & Compliance,get_security_baseline_status,Deployment status for a baseline,GET,/deviceManagement/intents/{id}/deviceStates,beta,DeviceManagementConfiguration.Read.All,Read,EXISTING
121,Security & Compliance,list_app_protection_policies,List app protection (MAM) policies,GET,/deviceAppManagement/managedAppPolicies,v1.0,DeviceManagementApps.Read.All,Read,EXISTING
122,Security & Compliance,list_enrollment_restrictions,List device enrollment restrictions,GET,/deviceManagement/deviceEnrollmentConfigurations,v1.0,DeviceManagementServiceConfig.Read.All,Read,EXISTING
123,Security & Compliance,list_device_categories,List device categories,GET,/deviceManagement/deviceCategories,v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
124,Security & Compliance,create_device_category,Create a device category,POST,/deviceManagement/deviceCategories,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,EXISTING
125,Security & Compliance,get_windows_malware_report,Windows malware report,POST,/deviceManagement/reports/getWindowsProtectionStateSummaryReport,beta,DeviceManagementManagedDevices.Read.All,Read,EXISTING
126,Security & Compliance,get_device_protection_overview,Device protection status overview,GET,/deviceManagement/managedDeviceOverview (windowsProtectionState),v1.0/beta,DeviceManagementManagedDevices.Read.All,Read,EXISTING
127,Security & Compliance,get_device_threat_state,Threat state for managed Windows devices,GET,/deviceManagement/managedDevices?$select=... (windowsProtectionState),v1.0/beta,DeviceManagementManagedDevices.Read.All,Read,EXISTING
128,Security & Compliance,get_detected_malware_on_device,Detected malware for a device,GET,/deviceManagement/managedDevices/{id}/windowsProtectionState/detectedMalwareState,beta,DeviceManagementManagedDevices.Read.All,Read,EXISTING
129,Reports,get_device_compliance_report,Device compliance summary,POST,/deviceManagement/reports/getComplianceReport (or GET deviceCompliancePolicyDeviceStateSummary),beta/v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
130,Reports,get_device_configuration_status,Deployment status for a config profile,GET,/deviceManagement/deviceConfigurations/{id}/deviceStatuses,v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
131,Reports,get_compliance_policy_status,Deployment status for a compliance policy,GET,/deviceManagement/deviceCompliancePolicies/{id}/deviceStatuses,v1.0,DeviceManagementConfiguration.Read.All,Read,EXISTING
132,Reports,get_app_installation_status,Installation status for an app,GET,/deviceAppManagement/mobileApps/{id}/installSummary,v1.0,DeviceManagementApps.Read.All,Read,EXISTING
133,Reports,get_license_usage_report,License usage summary,GET,/subscribedSkus (or /reports/getOffice365ActiveUserDetail),v1.0,Organization.Read.All & Reports.Read.All,Read,EXISTING
134,Reports,get_hardware_inventory_report,Hardware inventory summary,POST,/deviceManagement/reports/exportJobs (hardwareInventory),beta,DeviceManagementManagedDevices.Read.All,Read,EXISTING
135,Policy Management,create_compliance_policy,Create a new device compliance policy,POST,/deviceManagement/deviceCompliancePolicies,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
136,Policy Management,update_compliance_policy,Update an existing compliance policy,PATCH,/deviceManagement/deviceCompliancePolicies/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
137,Policy Management,delete_compliance_policy,Delete a compliance policy (confirm=True),DELETE,/deviceManagement/deviceCompliancePolicies/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
138,Policy Management,assign_compliance_policy,Assign compliance policy to group(s),POST,/deviceManagement/deviceCompliancePolicies/{id}/assign,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
139,Policy Management,create_configuration_profile,Create a new device configuration profile,POST,/deviceManagement/deviceConfigurations,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
140,Policy Management,update_configuration_profile,Update an existing configuration profile,PATCH,/deviceManagement/deviceConfigurations/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
141,Policy Management,delete_configuration_profile,Delete a configuration profile (confirm=True),DELETE,/deviceManagement/deviceConfigurations/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
142,Policy Management,assign_configuration_profile,Assign a configuration profile to group(s),POST,/deviceManagement/deviceConfigurations/{id}/assign,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
143,Policy Management,get_compliance_policy_detail,Get single compliance policy details,GET,/deviceManagement/deviceCompliancePolicies/{id},v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
144,Policy Management,get_configuration_profile_detail,Get single configuration profile details,GET,/deviceManagement/deviceConfigurations/{id},v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
145,Policy Management,list_policy_assignments,List assignments for a compliance/config policy,GET,/deviceManagement/deviceCompliancePolicies/{id}/assignments,v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
146,Settings Catalog,list_settings_catalog_policies,List settings catalog configuration policies,GET,/deviceManagement/configurationPolicies,v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
147,Settings Catalog,get_settings_catalog_policy,Get a settings catalog policy by ID,GET,/deviceManagement/configurationPolicies/{id},v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
148,Settings Catalog,create_settings_catalog_policy,Create a new settings catalog policy,POST,/deviceManagement/configurationPolicies,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
149,Settings Catalog,update_settings_catalog_policy,Update a settings catalog policy,PATCH,/deviceManagement/configurationPolicies/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
150,Settings Catalog,delete_settings_catalog_policy,Delete a settings catalog policy (confirm=True),DELETE,/deviceManagement/configurationPolicies/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
151,Settings Catalog,assign_settings_catalog_policy,Assign settings catalog policy to groups,POST,/deviceManagement/configurationPolicies/{id}/assign,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
152,ADMX (Group Policy),list_admx_templates,List administrative (ADMX) templates,GET,/deviceManagement/groupPolicyConfigurations,v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
153,ADMX (Group Policy),get_admx_template,Get ADMX configuration details,GET,/deviceManagement/groupPolicyConfigurations/{id},v1.0,DeviceManagementConfiguration.Read.All,Read,TO ADD
154,ADMX (Group Policy),create_admx_configuration,Create a new ADMX/GPO-based policy,POST,/deviceManagement/groupPolicyConfigurations,v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
155,ADMX (Group Policy),delete_admx_configuration,Delete an ADMX policy (confirm=True),DELETE,/deviceManagement/groupPolicyConfigurations/{id},v1.0,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
156,Endpoint Security,list_endpoint_security_policies,List all endpoint security policies,GET,/deviceManagement/intents,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
157,Endpoint Security,get_endpoint_security_policy,Get a specific endpoint security policy,GET,/deviceManagement/intents/{id},beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
158,Endpoint Security,create_endpoint_security_policy,Create endpoint security policy (AV/FW/EDR),POST,/deviceManagement/templates/{templateId}/createInstance,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
159,Endpoint Security,update_endpoint_security_policy,Update endpoint security policy settings,PATCH,/deviceManagement/intents/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
160,Endpoint Security,delete_endpoint_security_policy,Delete endpoint security policy (confirm=True),DELETE,/deviceManagement/intents/{id},beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
161,Endpoint Security,assign_endpoint_security_policy,Assign endpoint security policy to groups,POST,/deviceManagement/intents/{id}/assign,beta,DeviceManagementConfiguration.ReadWrite.All,Read.Write,TO ADD
162,Endpoint Security,list_endpoint_security_templates,List all endpoint security templates,GET,/deviceManagement/templates,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
163,Endpoint Security,get_antivirus_policy_status,Get antivirus policy device status summary,GET,/deviceManagement/intents/{id}/deviceStateSummary,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
164,Endpoint Security,list_endpoint_security_tasks,List security tasks from Microsoft Defender,GET,/deviceAppManagement/targetedManagedAppConfigurations,beta,DeviceManagementConfiguration.Read.All,Read,TO ADD
165,Endpoint Security,get_unhealthy_defender_agents,Report of Windows devices with unhealthy Defender,POST,/deviceManagement/reports/exportJobs (UnhealthyDefenderAgents),beta,DeviceManagementManagedDevices.Read.All,Read,TO ADD
